代码,名称,行业,买入日期,买入价,卖出日期,卖出价,股数,盈亏金额,盈亏比例,持有天数,买入信号,买入原因,卖出信号,卖出原因,市场状态,股票池
000629,钒钛股份,小金属,20220629,3.66,20220809,6.3,100,2049.9,72.13%,41,Rank 4.16%,"Rank 4.16%, Score 0.0145, BULL",BEAR trailing stop (14.9%),BEAR trailing stop (14.9%),BEAR,csi500
601001,晋控煤业,煤炭开采,20220718,14.51,20220809,13.5,100,-140.7,-4.39%,22,Rank 3.95%,"Rank 3.95%, Score 0.0218, BULL",BEAR rank exit (28.1%),BEAR rank exit (28.1%),BEAR,csi500
002683,广东宏大,化工原料,20220720,30.29,20220809,33.01,100,736.1,8.98%,20,Rank 1.08%,"Rank 1.08%, Score 0.0273, BULL",BEAR rank exit (35.6%),BEAR rank exit (35.6%),BEAR,csi500
601666,平煤股份,煤炭开采,20220725,11.64,20220809,12.12,100,138.8,4.12%,15,Rank 3.22%,"Rank 3.22%, Score 0.0128, BULL",BEAR rank exit (28.8%),BEAR rank exit (28.8%),BEAR,csi500
300573,兴齐眼药,化学制药,20220726,91.85,20220809,97.0,100,516.5,5.61%,14,Rank 0.36%,"Rank 0.36%, Score 0.0357, BULL",BEAR rank exit (61.5%),BEAR rank exit (61.5%),BEAR,csi500
300339,润和软件,软件服务,20220729,21.3,20220809,21.64,200,394.5,1.60%,11,Rank 0.36%,"Rank 0.36%, Score 0.0389, BULL",BEAR rank exit (20.2%),BEAR rank exit (20.2%),BEAR,csi500
688772,珠海冠宇,电气设备,20220801,25.55,20220809,26.9,500,662.1,5.28%,8,Rank 1.43%,"Rank 1.43%, Score 0.0214, BULL",BEAR rank exit (22.9%),BEAR rank exit (22.9%),BEAR,csi500
600699,均胜电子,汽车配件,20220706,14.62,20220810,19.6,100,2034.8,34.06%,35,Rank 0.72%,"Rank 0.72%, Score 0.0384, BULL",BEAR trailing stop (10.5%),BEAR trailing stop (10.5%),BEAR,csi500
300601,康泰生物,生物制药,20220802,33.13,20220810,34.67,100,367.7,4.65%,8,Rank 0.89%,"Rank 0.89%, Score 0.0209, BULL",BEAR rank exit (34.5%),BEAR rank exit (34.5%),BEAR,csi500
603379,三美股份,化工原料,20220725,26.99,20220811,30.7,100,529.6,13.75%,17,Rank 2.33%,"Rank 2.33%, Score 0.0145, BULL",BEAR rank exit (49.7%),BEAR rank exit (49.7%),BEAR,csi500
