代码,名称,行业,买入日期,买入价,卖出日期,卖出价,股数,盈亏金额,盈亏比例,持有天数,买入信号,买入原因,卖出信号,卖出原因,市场状态,股票池
600362,江西铜业,铜,20250701,23.79,20250716,23.21,100,-61.0,-2.44%,15,Rank 3.77%,"Rank 3.77%, Score 0.0139, BULL",BULL rank exit (43.7%),BULL rank exit (43.7%),BULL,csi300
300979,华利集团,服饰,20250429,52.0,20250718,56.35,300,1282.9,8.36%,80,Rank 0.94%,"Rank 0.94%, Score 0.0709, BEAR",BULL rank exit (45.3%),BULL rank exit (45.3%),BULL,csi300
601865,福莱特,玻璃,20250708,17.57,20250718,16.16,200,-287.9,-8.07%,10,Rank 3.14%,"Rank 3.14%, Score 0.0225, BULL",BULL Hard stop (-8.1%),BULL Hard stop (-8.1%),BULL,csi300
601236,红塔证券,证券,20250710,9.07,20250721,9.07,100,-1.2,0.00%,11,Rank 3.77%,"Rank 3.77%, Score 0.0192, BULL",BULL rank exit (83.0%),BULL rank exit (83.0%),BULL,csi300
601077,渝农商行,银行,20250603,7.99,20250722,7.32,300,-206.4,-8.49%,49,Rank 3.16%,"Rank 3.16%, Score 0.0233, BULL",BULL Hard stop (-8.5%),BULL Hard stop (-8.5%),BULL,csi300
601998,中信银行,银行,20250613,8.55,20250722,8.79,1100,250.0,2.79%,39,Rank 1.57%,"Rank 1.57%, Score 0.0254, BULL",BULL rank exit (48.1%),BULL rank exit (48.1%),BULL,csi300
601009,南京银行,银行,20250624,12.33,20250722,12.38,400,14.6,0.43%,28,Rank 4.72%,"Rank 4.72%, Score 0.0108, BULL",BULL rank exit (50.0%),BULL rank exit (50.0%),BULL,csi300
600233,圆通速递,仓储物流,20250711,14.11,20250723,14.77,500,319.5,4.66%,12,Rank 2.52%,"Rank 2.52%, Score 0.0219, BULL",BULL rank exit (41.8%),BULL rank exit (41.8%),BULL,csi300
601939,建设银行,银行,20250715,10.16,20250725,9.79,200,-75.8,-3.61%,10,Rank 1.89%,"Rank 1.89%, Score 0.0389, BULL",BULL rank exit (54.7%),BULL rank exit (54.7%),BULL,csi300
002463,沪电股份,元器件,20250718,52.95,20250728,53.6,100,58.1,1.23%,10,Rank 1.26%,"Rank 1.26%, Score 0.0336, BULL",BULL rank exit (91.2%),BULL rank exit (91.2%),BULL,csi300
601916,浙商银行,银行,20250708,3.89,20250729,3.58,600,-191.0,-8.06%,21,Rank 4.09%,"Rank 4.09%, Score 0.0176, BULL",BULL Hard stop (-8.1%),BULL Hard stop (-8.1%),BULL,csi300
601456,国联民生,证券,20250715,11.55,20250729,11.62,100,5.5,0.61%,14,Rank 4.72%,"Rank 4.72%, Score 0.0200, BULL",BULL rank exit (60.1%),BULL rank exit (60.1%),BULL,csi300
